time,open,high,low,close,K,D
2016-03-29T09:30:00-04:00,18.8348,18.8348,18.8348,18.8348,42.63237825176498,50.469608520242325
2016-03-30T09:30:00-04:00,19.1,19.1,18.9,18.9,40.75571579813139,43.559470974843975
2016-03-31T09:30:00-04:00,19.144,19.23,19.1299,19.13,67.628434629203,50.338842893033096
2016-04-04T09:30:00-04:00,19.5301,19.5301,19.5301,19.5301,85.1464726705603,64.5102076992982
2016-04-05T09:30:00-04:00,19.4,19.4,19.4,19.4,90.08412687211764,80.95301139062695
2016-04-06T09:30:00-04:00,19.46,19.483,19.46,19.483,90.37238793471899,88.53432915913227
2016-04-07T09:30:00-04:00,19.7499,19.7499,19.5,19.5,86.94717767628515,89.13456416104056
2016-04-08T09:30:00-04:00,19.39,19.39,19.39,19.39,82.87862684198412,86.73273081766274
2016-04-12T09:30:00-04:00,19.49,19.49,19.4899,19.49,79.9421128193127,83.25597244586062
2016-04-13T09:30:00-04:00,19.8096,19.8096,19.8096,19.8096,83.36732307774655,82.0626875796811
2016-04-14T09:30:00-04:00,20.02,20.02,20.02,20.02,93.22114474558657,85.51019354754857
2016-04-15T09:30:00-04:00,19.7703,19.7703,19.7701,19.7701,87.83979740811706,88.14275507715003
2016-04-18T09:30:00-04:00,19.835,19.838,19.816,19.816,76.82539483907847,85.96211233092733
2016-04-19T09:30:00-04:00,19.63,19.63,19.394,19.394,43.49206150574512,69.38575125098018
2016-04-20T09:30:00-04:00,19.27,19.5648,19.27,19.5648,27.8901918930803,49.40254941263459
2016-04-21T09:30:00-04:00,19.6644,19.7573,19.6644,19.7573,17.16690990761338,29.516387768812894
2016-04-22T09:30:00-04:00,19.7299,19.7299,19.71,19.71,26.31604211455664,23.79104797175007
2016-04-25T09:30:00-04:00,19.73,19.73,19.5901,19.62,25.11152213625455,22.86482471947482
2016-04-26T09:30:00-04:00,19.56,19.5706,19.56,19.5706,15.192354892797184,22.20663971453609
2016-04-27T09:30:00-04:00,19.51,19.51,19.47,19.47,6.043222685853917,15.44903323830185
2016-04-28T09:30:00-04:00,19.595,19.595,19.595,19.595,6.437606986485625,9.224394855045539
2016-04-29T09:30:00-04:00,18.93,18.93,18.8799,18.88,4.761125451115173,5.74731837448487
2016-05-02T09:30:00-04:00,18.9803,19,18.9803,19,7.562088292611976,6.253606910070889
2016-05-03T09:30:00-04:00,18.72,18.72,18.72,18.72,2.800962841496775,5.0413921950746055
2016-05-04T09:30:00-04:00,18.2,18.21,18.2,18.21,2.800962841496775,4.38800465853514
2016-05-05T09:30:00-04:00,18.1603,18.1603,18.1603,18.1603,-2.842170943040401e-14,1.8673085609978053
2016-05-06T09:30:00-04:00,18.07,18.29,17.9397,17.9397,-2.842170943040401e-14,0.9336542804988709
2016-05-09T09:30:00-04:00,18.31,18.31,18.2518,18.3,8.333514621661903,2.7778382072205807
2016-05-10T09:30:00-04:00,18.442,18.442,18.442,18.442,19.67945377672339,9.337656132795052
2016-05-11T09:30:00-04:00,18.308,18.308,18.308,18.308,29.213014805066383,19.075327734483857
2016-05-12T09:30:00-04:00,18.29,18.29,17.9493,17.9493,25.2991595694839,24.730542717091186
2016-05-13T09:30:00-04:00,18.12,18.12,18.11,18.11,22.798038148009237,25.77007084085314
2016-05-16T09:30:00-04:00,18.28,18.28,18.28,18.28,26.496908013927797,24.86470191047361
2016-05-17T09:30:00-04:00,18.1497,18.1497,18.1497,18.1497,32.83172616643734,27.375557442791422
2016-05-18T09:30:00-04:00,18.28,18.28,18.28,18.28,49.685421631493284,36.338018603952776
2016-05-19T09:30:00-04:00,18,18,17.93,17.9685,51.309598899186405,44.608915565705644
2016-05-20T09:30:00-04:00,18.214,18.214,18.195,18.2,73.88845469393075,58.29449174153681
2016-05-23T09:30:00-04:00,18.376,18.376,18.376,18.376,81.52327482862133,68.90710947391283
2016-05-24T09:30:00-04:00,18.938,18.938,18.92,18.92,99.99999999999996,85.13724317418401
2016-05-25T09:30:00-04:00,18.97,19.097,18.9401,19.09,99.99999999999996,93.84109160954041
2016-05-26T09:30:00-04:00,19.14,19.22,19.14,19.22,99.99999999999999,99.99999999999996
2016-05-27T09:30:00-04:00,19.38,19.38,19.29,19.29,99.99999999999999,99.99999999999996
